valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon
2004-01-03 21:43:00+00:00,T,AEST,BUR UUA /OV BUR/TM 2143/FL060/TP AEST/TB SEV,SEV,ZLA,6000,34.20067,-118.35867
2004-01-03 23:32:00+00:00,T,C210,BUR UUA /OV BUR/TM 2332/FL060/TP C210/TB SEV,SEV,ZLA,6000,34.20067,-118.35867
2004-01-22 19:35:00+00:00,T,SW4,BUR UUA /OV BUR360005/TM 1935/FL070/TP SW4/TB MOD-SEV,MOD-SEV,ZLA,7000,34.284010083340085,-118.35867
2004-02-05 03:35:00+00:00,T,PA31,BUR UUA /OV BUR120005/TM 0335/FL040/TP PA31/TB MOD-SEV BLO 040/RM DURGD BUR,MOD-SEV BLO 040,ZLA,4000,34.15899995832996,-118.2714049799346
2004-02-08 02:40:00+00:00,T,TBM,BUR UUA /OV BUR090005/TM 0240/FL090/TP TBM/TB SEV,SEV,ZLA,9000,34.20067,-118.2579050343488
2004-02-10 15:16:00+00:00,T,GLF4,BUR UUA /OV BUR/TM 1516/FL020/TP GLF4/TB MOD-SEV 002-020,MOD-SEV 002-020,ZLA,2000,34.20067,-118.35867
2004-03-03 13:53:00+00:00,T,BE35,BUR UUA /OV BUR/TM 1353/FL055/TP BE35/TB MOD-SEV/RM 5N BUR,MOD-SEV,ZLA,5500,34.20067,-118.35867
2004-03-03 14:39:00+00:00,T,C650,BUR UUA /OV VNY040007/TM 1439/FL070/TP C650/TB MOD-SEV 070-BLO/RM REPORTED AS MOD OR GRTR 5NNW BUR,MOD-SEV 070-BLO,ZLA,7000,34.29909909082444,-118.39848160376864
2004-03-10 20:45:00+00:00,T,PA34,HHR UUA /OV BUR-VNY/TM 2045/FL020/TP PA34/TB MOD OCNL SEV CHOP,MOD OCNL SEV CHOP,ZLA,2000,34.205195,-118.42392
2004-03-11 02:09:00+00:00,T,BE35,BUR UUA /OV BUR-LAX039012/TM 0209/FL020/TP BE35/TB MOD OCNL SEV/RM DURGC BUR-DODGER STADIUM,MOD OCNL SEV,ZLA,2000,34.20067,-118.35867
2004-04-23 17:29:00+00:00,T,M20P,BUR UUA /OV BUR270015/TM 1729/FL050/TP M20P/TB MOD-SEV 050-090,MOD-SEV 050-090,ZLA,5000,34.20067,-118.66096489695362
2004-10-27 19:58:00+00:00,T,LJ35,BUR UUA /OV DARTS/TM 1958/FL075/TP LJ35/TB MOD-SEV,MOD-SEV,ZLA,7500,34.20067,-118.35867
2004-11-28 17:36:00+00:00,T,P28A,BUR UUA /OV BUR090008/TM 1736/FL035/TP P28A/TB MOD-SEV 035-040,MOD-SEV 035-040,ZLA,3500,34.20067,-118.19744605495808
2004-12-16 07:27:00+00:00,T,BE99,BUR UUA /OV BUR360008/TM 0727/FL050/TP BE99/TB MOD OCNL SEV 060-050/RM DURGD BUR,MOD OCNL SEV 060-050,ZLA,5000,34.334014133344134,-118.35867
2004-12-24 01:12:00+00:00,T,PAY2,BUR UUA /OV BUR/TM 0112/FL030/TP PAY2/TB SEV/RM 7 SE ARPT,SEV,ZLA,3000,34.20067,-118.35867
2004-12-24 03:50:00+00:00,T,PA32,BUR UUA /OV BUR/TM 0350/FL017/TP PA32/TB MOD-SEV,MOD-SEV,ZLA,1700,34.20067,-118.35867
2005-01-31 19:58:00+00:00,T,C650,BUR UUA /OV DARTS360005/TM 1958/FL070/TP C650/TB SEV SFC-070,SEV SFC-070,ZLA,7000,34.20067,-118.35867
2005-01-31 20:12:00+00:00,T,C210,BUR UUA /OV BUR360005/TM 2012/FL035/TP C210/TB MOD-SEV,MOD-SEV,ZLA,3500,34.284010083340085,-118.35867
2005-02-01 16:21:00+00:00,T,BE20,BUR UUA /OV VNY095012/TM 1621/FL110/TP BE20/TB SEV/RM V459 VCNTY DARTS,SEV,ZLA,11000,34.19228743952602,-118.24822847376728
2005-02-01 16:33:00+00:00,T,C337,BUR UUA /OV BUR360005/TM 1633/FL055/TP C337/TB SEV/RM 1000FPM UPDFT,SEV,ZLA,5500,34.284010083340085,-118.35867
