valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon
2003-12-11 22:50:00+00:00,F,GLF4,BUR UA /OV BUR330015/TM 2250/FL100/TP GLF4/TB LGT-MOD/RM DURD,LGT-MOD,ZLA,10000,34.41719388797807,-118.5098174484768
2003-12-14 21:54:00+00:00,F,BE35,BUR UA /OV BUR360012/TM 2154/FL120/TP BE35/TB MOD,MOD,ZLA,12000,34.4006862000162,-118.35867
2003-12-30 21:30:00+00:00,F,BE35,BUR UA /OV VNY270007/TM 2130/FL025/TP BE35/TB MOD/RM AT VPLSS SANTA SUSANNA PASS,MOD,ZLA,2500,34.20972,-118.6302560988369
2004-01-03 19:11:00+00:00,F,C182,BUR UA /OV BUR/TM 1911/FL065/TP C182/TB MOD,MOD,ZLA,6500,34.20067,-118.35867
2004-01-03 21:43:00+00:00,T,AEST,BUR UUA /OV BUR/TM 2143/FL060/TP AEST/TB SEV,SEV,ZLA,6000,34.20067,-118.35867
2004-01-03 23:32:00+00:00,T,C210,BUR UUA /OV BUR/TM 2332/FL060/TP C210/TB SEV,SEV,ZLA,6000,34.20067,-118.35867
2004-01-05 15:52:00+00:00,F,PA31,VNY UA /OV BUR-FIM-RZS130010/TM 1552/FL060/TP PA31/TB LGT OCNL MOD 044-060 DURGC BUR-15W FIM OTRW SMTH,LGT OCNL MOD 044-060 DURGC BUR-15W FIM OTRW SMTH,ZLA,6000,34.2528600540775,-118.72532620035538
2004-01-21 14:57:00+00:00,F,E120,BUR UA /OV VNY095012/TM 1457/FL090/TP E120/TB LGT-MOD 090/BLW/RM DARTS INTXN,LGT-MOD 090,ZLA,9000,34.19228743952602,-118.24822847376728
2004-01-21 15:17:00+00:00,F,DHC6,BUR UA /OV VNY030010/TM 1517/FL065/TP DHC6/TB MOD/RM 5N BUR,MOD,ZLA,6500,34.354069258652046,-118.3883942151165
2004-01-21 18:16:00+00:00,F,C210,BUR UA /OV BUR/TM 1816/FL060/TP C210/TB LGT-MOD/RM OVR FOOTHILLS,LGT-MOD,ZLA,6000,34.20067,-118.35867
2004-01-22 14:54:00+00:00,F,E120,BUR UA /OV VNY095012/TM 1454/FL070/TP E120/TB MOD/RM OV DARTS DURGD,MOD,ZLA,7000,34.19228743952602,-118.24822847376728
2004-01-22 18:16:00+00:00,F,SR22,BUR UA /OV BUR-GMN130015/TM 1816/FL093/TP SR22/TA 02/WV 041046KT/TB CONS LGT OCNL MOD BLW 080 OTRW SMTH,CONS LGT OCNL MOD BLW 080 OTRW SMTH,ZLA,9300,34.20067,-118.35867
2004-01-22 19:35:00+00:00,T,SW4,BUR UUA /OV BUR360005/TM 1935/FL070/TP SW4/TB MOD-SEV,MOD-SEV,ZLA,7000,34.284010083340085,-118.35867
2004-01-28 21:22:00+00:00,F,B737,BUR UA /OV BUR/TM 2122/FL080/TP B737/TB LGT-MOD/RM DURC 020-080,LGT-MOD,ZLA,8000,34.20067,-118.35867
2004-02-01 01:37:00+00:00,F,B737,BUR UA /OV BUR270005/TM 0137/FL060/TP B737/TB MOD 060-070,MOD 060-070,ZLA,6000,34.20067,-118.4594349656512
2004-02-05 03:35:00+00:00,T,PA31,BUR UUA /OV BUR120005/TM 0335/FL040/TP PA31/TB MOD-SEV BLO 040/RM DURGD BUR,MOD-SEV BLO 040,ZLA,4000,34.15899995832996,-118.2714049799346
2004-02-07 22:23:00+00:00,F,C172,BUR UA /OV DARTS/TM 2223/FL065/TP C172/TB MOD/RM 6 E BUR,MOD,ZLA,6500,34.20067,-118.35867
2004-02-08 02:40:00+00:00,T,TBM,BUR UUA /OV BUR090005/TM 0240/FL090/TP TBM/TB SEV,SEV,ZLA,9000,34.20067,-118.2579050343488
2004-02-10 14:18:00+00:00,F,PA23,BUR UA /OV WHP-POM/TM 1418/FL055/TP PA23/TB MOD BLO 050 DURGC WHP/RM GUSTY SFC WINDS AT WHP,MOD BLO 050 DURGC WHP,ZLA,5500,34.169664999999995,-118.101715
2004-02-10 14:41:00+00:00,F,DHC6,BUR UA /OV HHR-BUR/TM 1441/FL060/TP DHC6/TB CONS LGT-MOD BUR-7N BUR,CONS LGT-MOD BUR-7N BUR,ZLA,6000,34.061755000000005,-118.34693
2004-02-10 15:16:00+00:00,T,GLF4,BUR UUA /OV BUR/TM 1516/FL020/TP GLF4/TB MOD-SEV 002-020,MOD-SEV 002-020,ZLA,2000,34.20067,-118.35867
2004-02-10 17:33:00+00:00,F,E120,BUR UA /OV BUR360008/TM 1733/FL088/TP E120/TB MOD,MOD,ZLA,8800,34.334014133344134,-118.35867
2004-02-13 03:03:00+00:00,F,P32R,BUR UA /OV VNY070020-BUR/TM 0303/FL060/TP P32R/TB LGT OCNL MOD BLO 060/RM DURGD BUR,LGT OCNL MOD BLO 060,ZLA,6000,34.323735948994994,-118.1103769543643
2004-02-13 07:57:00+00:00,T,C172,BUR UUA /OV BUR09004.5/TM 0757/FL045/TP C172/TB MOD-SVR/RM DURGD 045-035,MOD-SVR,ZLA,4500,34.20067,-118.35867
2004-02-20 21:03:00+00:00,F,BE20,BUR UA /OV BUR090010/TM 2103/FL080/TP BE20/TB MOD,MOD,ZLA,8000,34.20067,-118.1571400686976
2004-03-01 22:00:00+00:00,F,BE76,BUR UA /OV BUR090005/TM 2200/FL050/TP BE76/TB LGT-MOD,LGT-MOD,ZLA,5000,34.20067,-118.2579050343488
2004-03-02 23:36:00+00:00,F,BE35,BUR UA /OV BUR/TM 2336/FL070/TP BE35/TB MOD CHOP,MOD CHOP,ZLA,7000,34.20067,-118.35867
2004-03-03 13:53:00+00:00,T,BE35,BUR UUA /OV BUR/TM 1353/FL055/TP BE35/TB MOD-SEV/RM 5N BUR,MOD-SEV,ZLA,5500,34.20067,-118.35867
2004-03-03 14:39:00+00:00,T,C650,BUR UUA /OV VNY040007/TM 1439/FL070/TP C650/TB MOD-SEV 070-BLO/RM REPORTED AS MOD OR GRTR 5NNW BUR,MOD-SEV 070-BLO,ZLA,7000,34.29909909082444,-118.39848160376864
2004-03-03 14:58:00+00:00,F,C182,BUR UA /OV BUR/TM 1458/FL005/TP C182/TB MOD/RM FA RY33,MOD,ZLA,500,34.20067,-118.35867
2004-03-03 21:27:00+00:00,F,E120,BUR UA /OV BUR040005/TM 2127/FL080/TP E120/TB MOD,MOD,ZLA,8000,34.26451220773175,-118.29389952858892
2004-03-10 14:52:00+00:00,F,PA31,BUR UA /OV BUR/TM 1452/FL055/TP PA31/TB LGT-MOD/RM DURGC BUR-5N BUR RPTD BY SVRL SMALL ACFT,LGT-MOD,ZLA,5500,34.20067,-118.35867
2004-03-10 20:45:00+00:00,T,PA34,HHR UUA /OV BUR-VNY/TM 2045/FL020/TP PA34/TB MOD OCNL SEV CHOP,MOD OCNL SEV CHOP,ZLA,2000,34.205195,-118.42392
2004-03-10 22:21:00+00:00,F,BE20,BUR UA /OV LAX030015/TM 2221/FL110/TP BE20/TB LGT-MOD CHOP,LGT-MOD CHOP,ZLA,11000,34.154683887978074,-118.23585015134634
2004-03-11 02:09:00+00:00,T,BE35,BUR UUA /OV BUR-LAX039012/TM 0209/FL020/TP BE35/TB MOD OCNL SEV/RM DURGC BUR-DODGER STADIUM,MOD OCNL SEV,ZLA,2000,34.20067,-118.35867
2004-03-11 02:50:00+00:00,F,P32R,BUR UA /OV BUR360005-BUR/TM 0250/FL060/TP P32R/TB INTMT MOD BLO 060/RM DURGD BUR,INTMT MOD BLO 060,ZLA,6000,34.284010083340085,-118.35867
2004-04-01 23:18:00+00:00,F,BE90,BUR UA /OV BUR/TM 2318/FL070/TP BE90/TB LGT-MOD,LGT-MOD,ZLA,7000,34.20067,-118.35867
2004-04-01 23:30:00+00:00,F,BE20,BUR UA /OV VNY270010/TM 2330/FL120/TP BE20/TB MOD/IC LGT-MOD MXD,MOD,ZLA,12000,34.20972,-118.69072156976698
2004-04-11 16:30:00+00:00,F,MANY,BUR UA /OV BUR135005/TM 1630/FL060/TP MANY/TB LGT OCNL MOD/RM NUMEROUS ACFT REPORT TURBC FL040-070,LGT OCNL MOD,ZLA,6000,34.14173966192558,-118.28741840948202
2004-04-22 19:55:00+00:00,F,C172,BUR UA /OV BUR/TM 1955/FL055/TP C172/TB LGT-MOD CHOP,LGT-MOD CHOP,ZLA,5500,34.20067,-118.35867
2004-04-23 17:29:00+00:00,T,M20P,BUR UUA /OV BUR270015/TM 1729/FL050/TP M20P/TB MOD-SEV 050-090,MOD-SEV 050-090,ZLA,5000,34.20067,-118.66096489695362
2004-04-26 20:46:00+00:00,F,E120,BUR UA /OV BUR360010/TM 2046/FL080/TP E120/TB MOD 080/BLO,MOD 080,ZLA,8000,34.36735016668017,-118.35867
2004-05-19 18:41:00+00:00,F,C414,VNY UA /OV VNY/TM 1841/FL050/TP C414/TB MOD CHOP BLO 050/RM DURGC TO 5 E OF BUR,MOD CHOP BLO 050,ZLA,5000,34.20972,-118.48917
2004-07-08 17:45:00+00:00,F,BE35,BUR UA /OV VNY095010/TM 1745/FL075/TP BE35/SK OVC-TOP030/TB MOD,MOD,ZLA,7500,34.19519286627168,-118.28838539480608
2004-07-08 21:24:00+00:00,F,C421,BUR UA /OV BUR 090008/TM 2124/FL075/TP C421/TB MOD,MOD,ZLA,7500,34.20067,-118.19744605495808
2004-09-13 20:42:00+00:00,F,GLF4,BUR UA /OV BUR/TM 2042/FL040/TP GLF4/TB MOD,MOD,ZLA,4000,34.20067,-118.35867
2004-09-20 20:41:00+00:00,F,AA5,BUR UA /OV TOA-BUR/TM 2041/FL060/TP AA5/TB LGT-MOD BLO 060/RM DURGC TOA,LGT-MOD BLO 060,ZLA,6000,34.002030000000005,-118.34914
2004-09-21 04:40:00+00:00,F,B737,BUR UA /OV BUR320004/TM 0440/FL060/TP B737/TB LGT-MOD FL030-060/RM DURC BUR,LGT-MOD FL030-060,ZLA,6000,34.2517437661854,-118.41048637712888
2004-09-21 09:06:00+00:00,F,SW4,BUR UA /OV BUR090004/TM 0906/FL070/TP SW4/TB LGT OCNL MOD,LGT OCNL MOD,ZLA,7000,34.20067,-118.27805802747903
2004-09-21 13:36:00+00:00,F,B190,BUR UA /OV BUR/TM 1336/FL090/TP B190/SK SKC/TB CONS MOD CHOP,CONS MOD CHOP,ZLA,9000,34.20067,-118.35867
2004-09-21 15:18:00+00:00,F,BE20,BUR UA /OV BUR/TM 1518/FL065/TP BE20/TB MOD,MOD,ZLA,6500,34.20067,-118.35867
2004-09-21 18:44:00+00:00,F,PA46,BUR UA /OV BUR-SMO/TM 1844/FL070/TP PA46/TB MOD 070-020 DURD/RM SMOOTH BLW 020 CSTLN,MOD 070-020 DURD,ZLA,7000,34.110835,-118.402875
2004-10-11 12:03:00+00:00,F,BE55,BUR UA /OV BUR360007/TM 1203/FL045/TP BE55/TB LGT-MOD,LGT-MOD,ZLA,4500,34.31734611667612,-118.35867
2004-10-14 02:50:00+00:00,F,M20,BUR UA /OV BUR 090010/TM 0250/FL050/TP M20/TB LGT-MOD 040-048/RM HZ TOP030,LGT-MOD 040-048,ZLA,5000,34.20067,-118.1571400686976
2004-10-14 03:31:00+00:00,F,E120,BUR UA /OV BUR 090007/TM 0331/FL080/TP E120/TB MOD 070-080,MOD 070-080,ZLA,8000,34.20067,-118.21759904808832
2004-10-17 18:46:00+00:00,F,C182,BUR UA /OV BUR/TM 1846/FL060/TP C182/TB MOD/IC LGT MXD/RM DURD,MOD,ZLA,6000,34.20067,-118.35867
2004-10-17 18:55:00+00:00,F,LJ45,BUR UA /OV BUR/TM 1855/FL110/TP LJ45/TB MOD 080-110 DURC,MOD 080-110 DURC,ZLA,11000,34.20067,-118.35867
2004-10-19 15:10:00+00:00,F,B737,BUR UA /OV BUR/TM 1510/FL075/TP B737/SK OVCUNKN-TOP083/TB LGT-MOD/RM DURGC,LGT-MOD,ZLA,7500,34.20067,-118.35867
2004-10-19 17:30:00+00:00,F,B737,VNY UA /OV VNY/TM 1730/FL080/TP B737/SK OVC-TOP085/TB LGT-MOD DURC BUR,LGT-MOD DURC BUR,ZLA,8000,34.20972,-118.48917
2004-10-26 13:34:00+00:00,F,SF34,BUR UA /OV BUR090005/TM 1334/FL070/TP SF34/SK OVCUNK-TOP088/TB MOD,MOD,ZLA,7000,34.20067,-118.2579050343488
2004-10-27 19:58:00+00:00,T,LJ35,BUR UUA /OV DARTS/TM 1958/FL075/TP LJ35/TB MOD-SEV,MOD-SEV,ZLA,7500,34.20067,-118.35867
