valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon,date,station,time,wind_speed (kt),RH,wind_dir (deg)
2003-12-11 22:50:00+00:00,F,GLF4,BUR UA /OV BUR330015/TM 2250/FL100/TP GLF4/TB LGT-MOD/RM DURD,LGT-MOD,ZLA,10000,34.41719388797807,-118.5098174484768,2003-12-11,BUR,2003-12-11 20:53,9.00,40.37,340.0
2003-12-11 22:50:00+00:00,F,GLF4,BUR UA /OV BUR330015/TM 2250/FL100/TP GLF4/TB LGT-MOD/RM DURD,LGT-MOD,ZLA,10000,34.41719388797807,-118.5098174484768,2003-12-11,BUR,2003-12-11 21:53,13.00,35.87,350.0
2003-12-11 22:50:00+00:00,F,GLF4,BUR UA /OV BUR330015/TM 2250/FL100/TP GLF4/TB LGT-MOD/RM DURD,LGT-MOD,ZLA,10000,34.41719388797807,-118.5098174484768,2003-12-11,BUR,2003-12-11 22:53,14.00,22.78,330.0
2003-12-11 22:50:00+00:00,F,GLF4,BUR UA /OV BUR330015/TM 2250/FL100/TP GLF4/TB LGT-MOD/RM DURD,LGT-MOD,ZLA,10000,34.41719388797807,-118.5098174484768,2003-12-11,BUR,2003-12-11 23:53,19.00,25.41,360.0
2003-12-30 21:30:00+00:00,F,BE35,BUR UA /OV VNY270007/TM 2130/FL025/TP BE35/TB MOD/RM AT VPLSS SANTA SUSANNA PASS,MOD,ZLA,2500,34.20972,-118.6302560988369,2003-12-30,BUR,2003-12-30 12:53,8.00,45.97,40.0
2003-12-30 21:30:00+00:00,F,BE35,BUR UA /OV VNY270007/TM 2130/FL025/TP BE35/TB MOD/RM AT VPLSS SANTA SUSANNA PASS,MOD,ZLA,2500,34.20972,-118.6302560988369,2003-12-30,BUR,2003-12-30 18:53,0.00,34.41,0.0
2003-12-30 21:30:00+00:00,F,BE35,BUR UA /OV VNY270007/TM 2130/FL025/TP BE35/TB MOD/RM AT VPLSS SANTA SUSANNA PASS,MOD,ZLA,2500,34.20972,-118.6302560988369,2003-12-30,BUR,2003-12-30 22:53,4.00,28.45,320.0
2003-12-30 21:30:00+00:00,F,BE35,BUR UA /OV VNY270007/TM 2130/FL025/TP BE35/TB MOD/RM AT VPLSS SANTA SUSANNA PASS,MOD,ZLA,2500,34.20972,-118.6302560988369,2003-12-30,BUR,2003-12-30 23:53,7.00,31.85,350.0
2004-01-03 19:11:00+00:00,F,C182,BUR UA /OV BUR/TM 1911/FL065/TP C182/TB MOD,MOD,ZLA,6500,34.20067,-118.35867,2004-01-03,BUR,2004-01-03 14:53,12.00,47.05,10.0
2004-01-03 19:11:00+00:00,F,C182,BUR UA /OV BUR/TM 1911/FL065/TP C182/TB MOD,MOD,ZLA,6500,34.20067,-118.35867,2004-01-03,BUR,2004-01-03 15:53,13.00,41.89,330.0
