report,turbulence,fl
VNY UA /OV VNY/TM 0323/FL026/TP C680/SK CLR/WX 8/TA 12/WV 9/TB LIGHT TURBULENCE,LIGHT TURBULENCE,2600
VNY UA /OV VNY/TM 0323/FL026/TP C680/SK UNKN/WX UNKN/TA UNKN/WV UNKN/TB LGT/RM COR TO REMOVE SFC OBS. ZLA CWSU,LGT,2600
VNY UA /OV VNY/TM 1405/FL018/TP GLEX/SK OVC002/RM TOPS 018 MSL DEPARTURE END 16R,,1800
LAX UA /OV LAX071007/TM 1445/FL011/TP E75L/SK OVC011-TOP016,,1100
KLAX UA /OV LAX070003/TM 1445/FL011/TP E75L/SK BKN011-TOPS016,,1100
BUR UA /OV KBUR/TM 1505/FL010/TP B737/WX 3SM/RM BASES 010,,1000
LAX UA /OV LAX/TM 1515/FL007/TP A319/SK OVC007,,700
LGB UA /OV LGB/TM 1517/FL015/TP B737/SK BASES 015 TOPS 023,,1500
KLAX UA /OV LAX070003/TM 1525/FL007/TP B39M/SK OVC007-TOPS016,,700
SMO UA /OV SMO250002/TM 1526/FL016/TP P29A/SK OVC009-TOP016/RM DURC RY21,,1600
VNY UA /OV VNY/TM 1640/FL011/TP CL35/SK OVC003/WX 1 1/2SM/RM FIELD IN SIGHT 011 MSL 1 1/2SM,,1100
VNY UA /OV VNY/TM 1650/FL016/TP E135/SK OVC003/RM TOPS 016 MSL DEPARTURE END RUNWAY 16R,,1600
LGB UA /OV LGB120004/TM 1654/FL015/TP B38M/SK OVC015/WX HZ/RM TOPS OVC023 BASES OVC015 DURD LGB ILS RY30,,1500
LGB UA /OV KLGB180005/TM 1704/FL023/TP SR20/SK OVC014-TOP023/RM BASES 014 TOP 023,,2300
LAX UA /OV LAX140010/TM 1724/FL010/TP C172/SK OVC010-TOP015/RM DURC TOA,,1000
KLAX UA /OV LAX070005/TM 1745/FL018/TP B737/SK TOPS 018 BASES 014,,1800
SMO UA /OV KSMO030001/TM 1755/FL010/TP SR22/SK OVC010-TOP014/RM DURD 21,,1000
LGB UA /OV LGB /TM 1806 /FL001 /TP C172 /RM NEG BR FG,,100
TOA UA /OV 5NM SE/TM 1815/FL020/TP C172/RM TOPS 020,,2000
EMT UA /OV KEMT010001/TM 1834/FL005/TP HELO/WX 2,,500
VNY UA /OV VNY/TM 1901/FL020/TP PRM1/WX 4SM/RM RY 16R IN SIGHT @ 3 MILE FINAL. PILOT REPORTED 3.5 MILES VISIBILITY.,,2000
VNY UA /OV VNY/TM 1901/FL020/TP PRM1/WX 4SM/RM RY 16R IN SIGHT @ 3 MILE FINAL. PILOT REPORTED 3.5 MILES VISIBILITY,,2000
TOA UA /OV 0.5NM W/TM 2018/FL012/TP C172/SK BKN011/RM TOPS 018,,1200
EMT UA /OV EMT090002/TM 2038/FL020/TP P28A/WX FV05SM,,2000
LGB UA /OV LGB/TM 2045/FL017/TP B737/SK TOPS 020 BASES 017,,1700
SMO UA /OV SMO030008/TM 2320/FL024/TP PC12/WX HZ FV01SM,,2400
SMO UA /OV SMO360002/TM 0041/FL020/TP C172/WX FV07SM,,2000
VNY UUA /OV VNY/TM 0204/FL010/TP LJ45/RM LLWS +/-8 KT AND 100 FT UDFS DURD ON FINAL. COR MSG TYPE AND RMK. ZLA CWSU,,1000
LAX UA /OV LAX071003/TM 1440/FL006/TP B739/SK OVC006-TOP015,,600
LGB UA /OV KLGB/TM 1503/FL015/TP B737/RM TOPS 015,,1500
VNY UA /OV VNY31003/TM 1524/FL020/TP C172/TB MODERTE/RM MOD TURB,MODERTE,2000
LGB UA /OV LGB/TM 1543/FL016/TP B737/SK OVC004-TOP016,,1600
LGB UA /OV WILMA/TM 1603/FL017/TP B350/SK TOPS 017,,1700
