valid,urgent,aircraft,report,icing,turbulence,atrcc,product_id,fl,lat,lon
2005-01-02 21:21:00+00:00,F,GLF4,SLI UA /OV SLI/TM 2121/FL450/TP GLF4/TA M50/WV 22530KT/TB NEG,,NEG,ZLA,,45000,33.79,-118.052
2005-12-27 00:05:00+00:00,T,C560,LAX UUA /OV LAX130020/TM 0005/FL430/TP C560/TB MOD-SVR/RM ZLA,,MOD-SVR,ZLA,,43000,33.72388010815501,-118.07872343799696
2006-04-02 09:59:00+00:00,F,GLF2,LAX UA /OV LAX/TM 0959/FL430/TP GLF2/TA M68/WV 268062/TB NEG,,NEG,ZLA,,43000,33.93816,-118.38653
2006-12-16 19:34:00+00:00,F,GLF5,SNA UA /OV SNA-LAX/TM 1934/FL430/TP GLF5/TA M56/WV 249101KT/TB LGT-MOD 100 DURC CONT LGT CHOP FL430,,LGT-MOD 100 DURC CONT LGT CHOP FL430,ZLA,,43000,33.806915000000004,-118.127375
2007-01-02 10:20:00+00:00,F,UNKN,LAX UA /OV N2821 W12355/TM 1020/FL430/TP UNKN/TB LGT-MOD,,LGT-MOD,ZLA,,43000,33.93816,-118.38653
2009-08-25 05:12:00+00:00,F,C172,LAX UA /OV TEST/TM 0512/FL600/TP C172,,,ZLA,,60000,33.93816,-118.38653
2009-08-25 05:12:00+00:00,F,C172,LAX UA /OV TEST/TM 0512/FL600/TP C172,,,ZLA,,60000,33.93816,-118.38653
2014-03-26 20:32:00+00:00,T,C150,FUL UUA /OV FUL/TM 2032/FL800/TP C150/RM MOD TURB FA,,,ZLA,,80000,33.87,-117.98
2014-03-26 20:32:00+00:00,T,C150,FUL UUA /OV FUL/TM 2032/FL800/TP C150/RM MOD TURB FA,,,ZLA,,80000,33.87,-117.98
2014-03-26 20:32:00+00:00,T,C150,FUL UUA /OV FUL/TM 2032/FL800/TP C150/RM MOD TURB FA,,,ZLA,,80000,33.87,-117.98
2015-01-20 20:28:00+00:00,F,C182,KHHR UA /OV 2 MI/TM 2028/FL800/TP C182/SK OVC014/WX 2/WV 00000,,,ZLA,,80000,33.92284,-118.33519
2015-01-20 20:28:00+00:00,F,C182,KHHR UA /OV 2 MI/TM 2028/FL800/TP C182/SK OVC014/WX 2/WV 00000,,,ZLA,,80000,33.92284,-118.33519
2015-01-20 20:28:00+00:00,F,C182,KHHR UA /OV 2 MI/TM 2028/FL800/TP C182/SK OVC014/WX 2/WV 00000,,,ZLA,,80000,33.92284,-118.33519
2016-04-13 17:23:00+00:00,F,C172,KTOA UA /OV KTOA/TM 1723/FL800/TP C172/SK FEW018/RM BASES WEST OF FIELD 1800 FEW,,,ZLA,,80000,33.80339,-118.33961
