valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon,year
2025-01-06 15:12:00,F,B737,FUL UA /OV SLI020010/TM 1512/FL240/TP B737/TB MOD CHOP 220-240/RM DURC ZOOM3 SID. COR SA-ID. ZLA CWSU,MOD CHOP 220-240,ZLA,24000,33.94662812266072,-117.98340507739688,2025
2025-01-06 15:37:00,F,P28A,VNY UA /OV VNY/TM 1537/FL020/TP P28A/RM SMOOTH RIDES WITHIN THE AIRSPACE.,,ZLA,2000,34.20972,-118.48917,2025
2025-01-06 15:37:00,F,P28A,VNY UA /OV VNY/TM 1537/FL020/TP P28A/RM SMOOTH RIDES WITHIN THE AIRSPACE,,ZLA,2000,34.20972,-118.48917,2025
2025-01-06 17:50:00,F,CL30,VNY UA /OV VNY/TM 1750/FL020/TP CL30/RM SMOOTH RIDE 10 MILE FINAL ALL THE WAY IN.,,ZLA,2000,34.20972,-118.48917,2025
2025-01-06 17:50:00,F,CL30,VNY UA /OV VNY/TM 1750/FL020/TP CL30/RM SMOOTH RIDE 10 MILE FINAL ALL THE WAY IN,,ZLA,2000,34.20972,-118.48917,2025
2025-01-06 18:41:00,F,DA40,LGB UA /OV LGB /TM 1841 /FL001 /TP DA40 /SK SKC,,ZLA,100,33.81179,-118.14716,2025
2025-01-07 14:55:00,F,B737,BUR UA /OV VNY/TM 1455/FL060/TP B737/TB LGT-MOD SFC-065/RM SMOOTH 065-100 DURC,LGT-MOD SFC-065,ZLA,6000,34.20972,-118.48917,2025
2025-01-07 15:42:00,T,R44,BUR UUA /OV BUR/TM 1542/FL018/TP R44/RM EXTREME TURB REPORTED 1SM SE OF BUR AIRPORT BY R44,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 15:56:00,T,E135,BUR UUA /OV BUR/TM 1556/FL018/TP E135/RM WIND 020 AT 045 RWY 8 FINAL 018 TO SFC,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 16:00:00,T,B39M,BUR UUA /OV BUR/TM 1600/FL045/TP B39M/RM MOD TURB SFC-045 RWY 33 DEPARTURE BUR,,ZLA,4500,34.20067,-118.35867,2025
2025-01-07 16:03:00,T,B737,BUR UUA /OV BUR/TM 1603/FL018/TP B737/RM LLWS +/- 15KTS 018 TO SFC RWY 33 ARRIVAL BUR,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 16:46:00,T,B737,BUR UUA /OV BUR/TM 1646/FL018/TP B737/RM LLWS +/- 10 KTS RWY 8 ARRIVAL BUR 018 TO SFC,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 16:50:00,T,E135,BUR UUA /OV BUR/TM 1650/FL018/TP E135/RM LLWS +/- 15 KTS RWY 33 ARRIVAL 018 TO SFC.,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 16:50:00,T,E135,BUR UUA /OV BUR/TM 1650/FL018/TP E135/RM LLWS +/- 15 KTS RWY 33 ARRIVAL 018 TO SFC,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 17:05:00,F,GLF4,VNY UA /OV VNY34009/TM 1705/FL070/TP GLF4/TB MOD/RM MOD TURBULENCE ON CLIMB OUT SFC TO 070.,MOD,ZLA,7000,34.20972,-118.48917,2025
2025-01-07 17:05:00,F,GLF4,VNY UA /OV VNY34009/TM 1705/FL070/TP GLF4/TB MOD/RM MOD TURBULENCE ON CLIMB OUT SFC TO 070,MOD,ZLA,7000,34.20972,-118.48917,2025
2025-01-07 17:20:00,F,B737,BUR UA /OV BUR/TM 1720/FL070/TP B737/TB CONS MOD AOB 075,CONS MOD AOB 075,ZLA,7000,34.20067,-118.35867,2025
2025-01-07 17:40:00,F,B737,BUR UA /OV BUR/TM 1740/FL070/TP B737/TB MOD,MOD,ZLA,7000,34.20067,-118.35867,2025
2025-01-07 18:18:00,T,GLF6,BUR UUA /OV BUR/TM 1818/FL018/TP GLF6/RM LLWS +/- 10 KTS RWY 8 ARRIVAL BUR 018 TO SFC,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 18:20:00,F,C206,BUR UA /OV BUR100010/TM 1820/FL070/TP C206/TB CONT MOD,CONT MOD,ZLA,7000,34.171726292802774,-118.16020176118938,2025
2025-01-07 18:30:00,F,B737,VNY UA /OV VNY 360010/TM 1830/FL080/TP B737/SK SCT070/TB MOD DURC/RM SFC-080,MOD DURC,ZLA,8000,34.37640016668016,-118.48917,2025
2025-01-07 18:52:00,T,B738,BUR UUA /OV BUR/TM 1852/FL018/TP B738/RM LLWS +/- 10 KTS RWY 33 ARRIVAL BUR 018 TO SFC,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 20:43:00,F,S22T,BUR UA /OV BUR/TM 2043/FL050/TP S22T/TB MOD-SEV/RM MOD-SEV TURB DURC,MOD-SEV,ZLA,5000,34.20067,-118.35867,2025
2025-01-07 20:50:00,T,B737,BUR UUA /OV BUR320007/TM 2050/FL070/TP B737/TB MOD-SEV,MOD-SEV,ZLA,7000,34.290049090824446,-118.44934865997551,2025
2025-01-07 21:49:00,T,A319,BUR UUA /OV BUR/TM 2149/FL060/TP A319/TB SEV,SEV,ZLA,6000,34.20067,-118.35867,2025
2025-01-07 22:00:00,F,C750,VNY UA /OV VNY/TM 2200/FL010/TP C750/WV +/- 20 KTS ON DEPARTURE,,ZLA,1000,34.20972,-118.48917,2025
2025-01-07 22:18:00,T,C750,LGB UUA /OV LGB120001/TM 2218/FL005/TP C750/RM LLWS +/-15KT RWY30 LGB,,ZLA,500,33.80345599166599,-118.12978673317495,2025
2025-01-07 23:15:00,F,B737,BUR UA /OV BUR/TM 2315/FL015/TP B737/SK CLR/WX 35014G28/RM GAIN/LOSS 15KTS ON FINAL,,ZLA,1500,34.20067,-118.35867,2025
2025-01-07 23:20:00,T,B737,LAX UUA /OV LAX/TM 2320/FL010/TP B737/WX FU NW QUADRANT/WV +/- 15KTS LLWS/RM DURD RY6L,,ZLA,1000,33.93816,-118.38653,2025
2025-01-08 01:23:00,F,B737,BUR UA /OV BUR/TM 0123/FL030/TP B737/RM LLWS +/-20 KT 030 DURD RY33 BUR,,ZLA,3000,34.20067,-118.35867,2025
2025-01-08 01:52:00,F,AS50,VNY UA /OV 2 MILES NORTH OF VNY/TM 0152/FL018/TP AS50/TB SEVERE TURBULENCE,SEVERE TURBULENCE,ZLA,1800,34.20972,-118.48917,2025
2025-01-08 03:00:00,T,B767,LGB UUA /OV LGB12001/TM 0300/FL005/TP B767/SK CLR/WX 03013G22KT 10SM CLR 19/M09 A2998/RM LLWS +25KTS BETWEEN 900FT AND 500FT ON FINAL RWY30. +20KTS FROM SURFACE TO 500FT.,,ZLA,500,33.81179,-118.14716,2025
2025-01-08 03:00:00,T,B767,LGB UUA /OV LGB12001/TM 0300/FL005/TP B767/SK CLR/WX 03013G22KT 10SM CLR 19/M09 A2998/RM LLWS +25KTS BETWEEN 900FT AND 500FT ON FINAL RWY30. +20KTS FROM SURFACE TO 500FT,,ZLA,500,33.81179,-118.14716,2025
2025-01-08 04:03:00,F,B738,LAX UA /OV LAX/TM 0403/FL003/TP B738/RM RM LLWS +/-30 KT SFC-004 RY06L,,ZLA,300,33.93816,-118.38653,2025
2025-01-08 04:09:00,F,B738,LAX UA /OV LAX/TM 0409/FL050/TP B738/TB MOD-SEV BLO 050,MOD-SEV BLO 050,ZLA,5000,33.93816,-118.38653,2025
2025-01-08 04:15:00,F,E75L,LAX UA /OV LAX250010/TM 0415/FL020/TP E75L/WV MOD/RM ILS 6L MODERATE TURB THROUGH THE SMOKE,,ZLA,2000,33.88115202550251,-118.57532032250796,2025
2025-01-08 04:35:00,F,A321,LAX UA /OV LAX250010/TM 0435/FL020/TP A321/RM UPDRAFTS OF 700 FT PER MINUTE. ILS 7R LAX,,ZLA,2000,33.88115202550251,-118.57532032250796,2025
