report,turbulence,fl
FUL UA /OV SLI020010/TM 1512/FL240/TP B737/TB MOD CHOP 220-240/RM DURC ZOOM3 SID. COR SA-ID. ZLA CWSU,MOD CHOP 220-240,24000
KLAX UA /OV WHDDN/TM 1815/FL160/TP B737/TB WIND SHEAR +40 KNOTS/RM WIND SHEAR +40 KNOTS,WIND SHEAR +40 KNOTS,16000
BUR UA /OV LAX060015/TM 1920/FL110/TP B7,,11000
BUR UA /OV LAX060015/TM 1923/FL110/TP B737/TB CONS MOD CHOP DURC TO 110,CONS MOD CHOP DURC TO 110,11000
KLAX UA /OV 25 MILES EAST LAX/TM 2000/FL130/TP B737/RM MODERATE TURBULENCE FROM FL280 DOWN TO 140,,13000
KLAX UA /OV LAX070020/TM 2130/FL120/TP B738/TB MODERATE,MODERATE,12000
KLAX UA /OV WAKER/TM 2135/FL120/TP B739/TB CONTINOUS LIGHT; OCCASSIONAL MODERATE 120-000,CONTINOUS LIGHT; OCCASSIONAL MODERATE 120-000,12000
LAX UA /OV SXC325025/TM 2249/FL130/TP CRJ2/TB MOD 130-100/RM DURD SNA/LGB VIA TANDY,MOD 130-100,13000
LAX UA /OV LAX/TM 1838/FL105/TP MU20/TB MOD TURB,MOD TURB,10500
SMO UA /OV SMO /TM 2315 /FL200 /TP PC12 /TB MOD,MOD,20000
