valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon,year
2024-12-30 15:05:00,F,B737,BUR UA /OV KBUR/TM 1505/FL010/TP B737/WX 3SM/RM BASES 010,,ZLA,1000,34.20067,-118.35867,2024
2024-12-31 16:22:00,F,B737,BUR UA /OV BUR150001/TM 1622/FL010/TP B737/RM ON DEPARTURE FROM RWY 15 BASES 010 AND TOPS 017,,ZLA,1000,34.1862350741348,-118.34859350343488,2024
2024-12-31 16:22:00,F,B737,BUR UA /OV BUR/TM 1622/FL017/TP B737/SK OVC BASES 010 TOPS 017,,ZLA,1700,34.20067,-118.35867,2024
2024-12-31 16:22:00,F,B737,BUR UA /OV BUR150001/TM 1622/FL010/TP B737/RM ON DEPARTURE FROM RWY 15 BASES 010 AND TOPS 017.,,ZLA,1000,34.1862350741348,-118.34859350343488,2024
2024-12-31 17:03:00,F,A319,BUR UA /OV BUR/TM 1703/FL008/TP A319/RM BASES AT THE SFC RWY 15 DEPARTURE BUR,,ZLA,800,34.20067,-118.35867,2024
2025-01-04 17:17:00,F,B737,BUR UA /OV FIM120010/TM 1717/FL070/TP B737/TB MOD BLO 070,MOD BLO 070,ZLA,7000,34.276659916659916,-118.70513881407882,2025
2025-01-04 17:28:00,F,E75L,BUR UA /OV BUR090015/TM 1728/FL040/TP E75L/TB LGT-MOD CHOP/RM SIMI VALLEY PRACTICE AREA,LGT-MOD CHOP,ZLA,4000,34.20067,-118.0563751030464,2025
2025-01-04 17:30:00,F,B737,BUR UA /OV BUR240015/TM 1730/FL030/TP B737/TB CONS MOD 030-090/RM CONTINUOUS MOD TURB DURING CLIMBING ON LADYJ AND OROSZ SIDS,CONS MOD 030-090,ZLA,3000,34.075659874989874,-118.62046506019622,2025
2025-01-05 03:25:00,F,B737,BUR UA /OV BUR/TM 0325/FL028/TP B737/RM 20 KT CROSSWIND AT 2 000 FEET AGL RWY 8 ARRIVAL BUR,,ZLA,2800,34.20067,-118.35867,2025
2025-01-07 14:55:00,F,B737,BUR UA /OV VNY/TM 1455/FL060/TP B737/TB LGT-MOD SFC-065/RM SMOOTH 065-100 DURC,LGT-MOD SFC-065,ZLA,6000,34.20972,-118.48917,2025
2025-01-07 15:42:00,T,R44,BUR UUA /OV BUR/TM 1542/FL018/TP R44/RM EXTREME TURB REPORTED 1SM SE OF BUR AIRPORT BY R44,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 15:56:00,T,E135,BUR UUA /OV BUR/TM 1556/FL018/TP E135/RM WIND 020 AT 045 RWY 8 FINAL 018 TO SFC,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 16:00:00,T,B39M,BUR UUA /OV BUR/TM 1600/FL045/TP B39M/RM MOD TURB SFC-045 RWY 33 DEPARTURE BUR,,ZLA,4500,34.20067,-118.35867,2025
2025-01-07 16:03:00,T,B737,BUR UUA /OV BUR/TM 1603/FL018/TP B737/RM LLWS +/- 15KTS 018 TO SFC RWY 33 ARRIVAL BUR,,ZLA,1800,34.20067,-118.35867,2025
2025-01-07 16:46:00,T,B737,BUR UUA /OV BUR/TM 1646/FL018/TP B737/RM LLWS +/- 10 KTS RWY 8 ARRIVAL BUR 018 TO SFC,,ZLA,1800,34.20067,-118.35867,2025
