valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon,year
2024-12-30 14:45:00,F,E75L,LAX UA /OV LAX071007/TM 1445/FL011/TP E75L/SK OVC011-TOP016,,ZLA,1100,33.976146027975474,-118.25355744385418,2024
2024-12-30 14:45:00,F,E75L,KLAX UA /OV LAX070003/TM 1445/FL011/TP E75L/SK BKN011-TOPS016,,ZLA,1100,33.955262392349255,-118.3298929032476,2024
2024-12-30 15:15:00,F,A319,LAX UA /OV LAX/TM 1515/FL007/TP A319/SK OVC007,,ZLA,700,33.93816,-118.38653,2024
2024-12-30 17:24:00,F,C172,LAX UA /OV LAX140010/TM 1724/FL010/TP C172/SK OVC010-TOP015/RM DURC TOA,,ZLA,1000,33.81047558453652,-118.25738981367464,2024
2024-12-30 17:45:00,F,B737,KLAX UA /OV LAX070005/TM 1745/FL018/TP B737/SK TOPS 018 BASES 014,,ZLA,1800,33.96666398724875,-118.292134838746,2024
2024-12-31 14:40:00,F,B739,LAX UA /OV LAX071003/TM 1440/FL006/TP B739/SK OVC006-TOP015,,ZLA,600,33.954439726275204,-118.32954176165178,2024
2024-12-31 16:45:00,F,B738,LAX UA /OV LAX071005/TM 1645/FL008/TP B738/SK OVC008-TOP017,,ZLA,800,33.96529287712534,-118.29154960275298,2024
2024-12-31 17:37:00,F,PA28,LAX UA /OV SMO/TM 1737/FL010/TP PA28/SK BAS 010 OP 017,,ZLA,1000,34.021,-118.44708,2024
2024-12-31 18:49:00,F,C172,LAX UA /OV TOA/TM 1849/FL016/TP C172/SK TOP 016 BASSES 008,,ZLA,1600,33.80339,-118.33961,2024
2025-01-01 13:05:00,F,B752,KLAX UA /OV KLAX071002/TM 1305/FL002/TP B752/SK OVC002/RM DURD RY24R,,ZLA,200,33.949013150850135,-118.3485378411012,2025
2025-01-04 16:28:00,F,B737,LAX UA /OV LAX180025/TM 1628/FL065/TP B737/TB MOD BLO 065/RM DURC LAX SOUTHBOUND,MOD BLO 065,ZLA,6500,33.52145958329959,-118.38653,2025
2025-01-08 04:15:00,F,E75L,LAX UA /OV LAX250010/TM 0415/FL020/TP E75L/WV MOD/RM ILS 6L MODERATE TURB THROUGH THE SMOKE,,ZLA,2000,33.88115202550251,-118.57532032250796,2025
2025-01-08 14:35:00,F,A321,LAX UA /OV LAX080010/TM 1435/FL050/TP A321/SK NO CLNG/WX LESS THAN 9 SM/RM NO CEILING AND VIS IMPROVED ABOVE 5000',,ZLA,5000,33.96710370719723,-118.18867575576424,2025
2025-01-08 16:30:00,F,B738,LAX UA /OV LAX050010/TM 1630/FL075/TP B738/TB MOD TURB AOB 075/RM WIND SHEAR TO -20 KTS,MOD TURB AOB 075,ZLA,7500,34.0452999459225,-118.23262671899847,2025
2025-01-08 21:30:00,F,B738,KLAX UA /OV LAX070020/TM 2130/FL120/TP B738/TB MODERATE,MODERATE,ZLA,12000,34.052175948995,-118.00894935498408,2025
2025-01-08 22:49:00,F,CRJ2,LAX UA /OV SXC325025/TM 2249/FL130/TP CRJ2/TB MOD 130-100/RM DURD SNA/LGB VIA TANDY,MOD 130-100,ZLA,13000,33.721340998196226,-118.70622527022292,2025
2025-01-09 15:15:00,F,CRJ7,LAX UA /OV 15 EAST LAX/TM 1515/FL026/TP CRJ7/RM TOPS 090 HZ UNTIL 000,,ZLA,2600,33.93816,-118.08517030269267,2025
