valid,urgent,aircraft,report,turbulence,atrcc,fl,lat,lon,year
2024-12-30 03:23:00,F,C680,VNY UA /OV VNY/TM 0323/FL026/TP C680/SK CLR/WX 8/TA 12/WV 9/TB LIGHT TURBULENCE,LIGHT TURBULENCE,ZLA,2600,34.20972,-118.48917,2024
2024-12-30 14:45:00,F,E75L,LAX UA /OV LAX071007/TM 1445/FL011/TP E75L/SK OVC011-TOP016,,ZLA,1100,33.976146027975474,-118.25355744385418,2024
2024-12-30 14:45:00,F,E75L,KLAX UA /OV LAX070003/TM 1445/FL011/TP E75L/SK BKN011-TOPS016,,ZLA,1100,33.955262392349255,-118.3298929032476,2024
2024-12-30 15:05:00,F,B737,BUR UA /OV KBUR/TM 1505/FL010/TP B737/WX 3SM/RM BASES 010,,ZLA,1000,34.20067,-118.35867,2024
2024-12-30 15:15:00,F,A319,LAX UA /OV LAX/TM 1515/FL007/TP A319/SK OVC007,,ZLA,700,33.93816,-118.38653,2024
2024-12-30 15:17:00,F,B737,LGB UA /OV LGB/TM 1517/FL015/TP B737/SK BASES 015 TOPS 023,,ZLA,1500,33.81179,-118.14716,2024
2024-12-30 15:26:00,F,P29A,SMO UA /OV SMO250002/TM 1526/FL016/TP P29A/SK OVC009-TOP016/RM DURC RY21,,ZLA,1600,34.009598405100505,-118.48487487675732,2024
2024-12-30 16:54:00,F,B38M,LGB UA /OV LGB120004/TM 1654/FL015/TP B38M/SK OVC015/WX HZ/RM TOPS OVC023 BASES OVC015 DURD LGB ILS RY30,,ZLA,1500,33.77845396666397,-118.0776669326998,2024
2024-12-30 17:04:00,F,SR20,LGB UA /OV KLGB180005/TM 1704/FL023/TP SR20/SK OVC014-TOP023/RM BASES 014 TOP 023,,ZLA,2300,33.72844991665992,-118.14716,2024
2024-12-30 17:24:00,F,C172,LAX UA /OV LAX140010/TM 1724/FL010/TP C172/SK OVC010-TOP015/RM DURC TOA,,ZLA,1000,33.81047558453652,-118.25738981367464,2024
2024-12-30 17:45:00,F,B737,KLAX UA /OV LAX070005/TM 1745/FL018/TP B737/SK TOPS 018 BASES 014,,ZLA,1800,33.96666398724875,-118.292134838746,2024
2024-12-30 17:55:00,F,SR22,SMO UA /OV KSMO030001/TM 1755/FL010/TP SR22/SK OVC010-TOP014/RM DURD 21,,ZLA,1000,34.035434925865204,-118.43702488306036,2024
2024-12-30 18:15:00,F,C172,TOA UA /OV 5NM SE/TM 1815/FL020/TP C172/RM TOPS 020,,ZLA,2000,33.80339,-118.33961,2024
2024-12-30 18:34:00,F,HELO,EMT UA /OV KEMT010001/TM 1834/FL005/TP HELO/WX 2,,ZLA,500,34.102414792042,-118.0315052159428,2024
2024-12-30 20:38:00,F,P28A,EMT UA /OV EMT090002/TM 2038/FL020/TP P28A/WX FV05SM,,ZLA,2000,34.086,-117.99474868145302,2024
2024-12-30 23:20:00,F,PC12,SMO UA /OV SMO030008/TM 2320/FL024/TP PC12/WX HZ FV01SM,,ZLA,2400,34.13647940692164,-118.3666390644828,2024
2024-12-31 00:41:00,F,C172,SMO UA /OV SMO360002/TM 0041/FL020/TP C172/WX FV07SM,,ZLA,2000,34.054336033336035,-118.44708,2024
2024-12-31 14:40:00,F,B739,LAX UA /OV LAX071003/TM 1440/FL006/TP B739/SK OVC006-TOP015,,ZLA,600,33.954439726275204,-118.32954176165178,2024
2024-12-31 16:22:00,F,B737,BUR UA /OV BUR150001/TM 1622/FL010/TP B737/RM ON DEPARTURE FROM RWY 15 BASES 010 AND TOPS 017,,ZLA,1000,34.1862350741348,-118.34859350343488,2024
2024-12-31 16:42:00,F,B737,LGB UA /OV LGB120005/TM 1642/FL020/TP B737/SK OVC004-TOP020,,ZLA,2000,33.77011995832996,-118.06029366587477,2024
2024-12-31 16:45:00,F,B738,LAX UA /OV LAX071005/TM 1645/FL008/TP B738/SK OVC008-TOP017,,ZLA,800,33.96529287712534,-118.29154960275298,2024
2024-12-31 16:50:00,F,E55P,SMO UA /OV SMO030003/TM 1650/FL015/TP E55P/SK OVC007-TOPS017,,ZLA,1500,34.064304777595616,-118.41691464918104,2024
2024-12-31 17:35:00,F,P28A,SMO UA /OV KSMO210001/TM 1735/FL020/TP P28A/SK OVC010-TOP017/RM DURC 21,,ZLA,2000,34.0065650741348,-118.45713511693964,2024
2024-12-31 17:37:00,F,PA28,LAX UA /OV SMO/TM 1737/FL010/TP PA28/SK BAS 010 OP 017,,ZLA,1000,34.021,-118.44708,2024
2024-12-31 17:42:00,F,B737,LGB UA /OV LGB120001/TM 1742/FL005/TP B737/SK OVC005-TOP022,,ZLA,500,33.80345599166599,-118.12978673317495,2024
2024-12-31 17:52:00,F,PC12,SMO UA /OV KSMO030002/TM 1752/FL010/TP PC12/SK OVC010-TOP014/WX FV02SM /RM DURD 21,,ZLA,1000,34.04986985173041,-118.4269697661207,2024
2024-12-31 18:07:00,F,E55P,SMO UA /OV KSMO230001/TM 1807/FL020/TP E55P/SK OVC-TOP013/RM DURC 21,,ZLA,2000,34.01028600540775,-118.46248533291306,2024
2024-12-31 19:15:00,F,DA62,EMT UA /OV KEMT030002/TM 1915/FL015/TP DA62/SK OVC008-TOP015,,ZLA,1500,34.11486985173041,-118.01487434072652,2024
2024-12-31 19:21:00,F,PC12,SMO UA /OV KSMO030004/TM 1921/FL010/TP PC12/SK SCT010-TOP014/WX FV03SM/RM DURD 21,,ZLA,1000,34.07873970346082,-118.4068595322414,2024
2024-12-31 20:04:00,F,C172,SMO UA /OV KSMO030005/TM 2004/FL025/TP C172/WX FV05SM/RM DURD 21,,ZLA,2500,34.09317462932602,-118.39680441530174,2024
2024-12-31 20:50:00,F,PA46,EMT UA /OV EMT070002/TM 2050/FL014/TP PA46/SK OVC-TOP010/WX FV03SM,,ZLA,1400,34.097401594899495,-117.9971761329845,2024
2024-12-31 21:10:00,T,GLEX,WHP UUA /OV VNY345005/TM 2110/FL025/TP GLEX/SK SKC/WX FV10SM/WV 10009KT/RM LLWS +/-15 KT DURD VNY 16R ILS Z. COR SA-ID AND MSG TYPE AND LOCTN AND WX AND WIND AND RMK. ZLA CWSU,,ZLA,2500,34.290220338863264,-118.515252692413,2024
2024-12-31 21:30:00,F,B38M,LGB UA /OV LGB120002/TM 2130/FL008/TP B38M/SK OVC008-TOP013,,ZLA,800,33.79512198333199,-118.1124134663499,2024
2025-01-01 03:05:00,F,B763,LGB UA /OV LGB270003/TM 0305/FL016/TP B763/SK OVC007-TOP012,,ZLA,1600,33.81179,-118.20734276166888,2025
2025-01-01 13:05:00,F,B752,KLAX UA /OV KLAX071002/TM 1305/FL002/TP B752/SK OVC002/RM DURD RY24R,,ZLA,200,33.949013150850135,-118.3485378411012,2025
2025-01-01 14:45:00,F,C172,LGB UA /OV LGB260003/TM 1445/FL016/TP C172/SK OVC003-TOP008,,ZLA,1600,33.80310688784083,-118.20642845028918,2025
2025-01-01 14:55:00,F,C172,LGB UA /OV LGB270002/TM 1455/FL008/TP C172/SK OVC-TOP008/RM DURC. COR ALT AND SKY. ZLA CWSU,,ZLA,800,33.81179,-118.18728184111258,2025
2025-01-01 16:35:00,F,LNC4,SMO UA /OV SMO210002/TM 1635/FL005/TP LNC4/SK OVC-TOP004/WX FG/RM FOG BANK DURC. COR SKY AND WX. ZLA CWSU,,ZLA,500,33.99213014826959,-118.4671902338793,2025
2025-01-01 18:47:00,F,GLF6,WHP UA /OV VNY343006/TM 1847/FL025/TP GLF6/TB NEG/RM SMOOTH OV NEWHALL PASS. COR SA-ID AND LOCTN AND TURB. ZLA CWSU,NEG,ZLA,2500,34.30535822167257,-118.5245267856254,2025
2025-01-02 15:03:00,F,B38M,LGB UA /OV LGB300002/TM 1503/FL010/TP B38M/SK OVC002-TOP007,,ZLA,1000,33.828458016668016,-118.18190653365008,2025
2025-01-03 15:15:00,F,B06,SMO UA /OV SMO060003/TM 1515/FL020/TP B06/SK OVCUNK-TOP002,,ZLA,2000,34.046002025002025,-118.39483207975344,2025
